workload,strategy,run,cost_usd,latency_sec,hypervolume,overhead_sec,n_pareto
Medium,B2-WeightedSumGA,16,0.21670384295599007,6484.4130816755405,765.3188714993099,,
Medium,B2-WeightedSumGA,17,0.21345375747598894,6376.347746760631,798.4667291279296,,
Medium,B2-WeightedSumGA,18,0.214397547932325,6400.368293146755,789.9248744411299,,
Medium,B2-WeightedSumGA,19,0.21523526678532254,6423.140253225547,782.1542725864056,,
Medium,B2-WeightedSumGA,20,0.21419414634230402,6403.043075423215,790.5268908552756,,
Medium,B2-WeightedSumGA,21,0.2164485443640685,6470.698065154496,768.7075791219006,,
Medium,B2-WeightedSumGA,22,0.21632642803360622,6455.206262097434,771.7168521988077,,
Medium,B2-WeightedSumGA,23,0.2160218503564265,6439.46972579207,775.6782451114686,,
Medium,B2-WeightedSumGA,24,0.21573317416265622,6434.893980472902,777.8312235303313,,
Medium,B2-WeightedSumGA,25,0.21413831080382123,6412.4799409460575,789.3225527749598,,
Medium,B2-WeightedSumGA,26,0.21482294209967012,6407.444245727579,786.6772772333024,,
Medium,B2-WeightedSumGA,27,0.21713878119805555,6486.648751352252,762.823348438177,,
Medium,B2-WeightedSumGA,28,0.2141712135408041,6391.586715072623,792.4444894915125,,
Medium,B2-WeightedSumGA,29,0.22649710037130133,6757.076765214198,677.3633226339196,,
Medium,B1-AllSmall,0,0.14511487679522994,10389.677379256553,,,
Medium,B3-AllLarge,0,0.3377218950870805,4317.788001768958,,,
High,NSGA-III,0,0.7650603772212549,15263.92919478154,7013.190474453684,2.147,2
High,NSGA-III,1,0.6009912207002063,17976.313491196113,8142.455743781189,2.068,6
High,NSGA-III,2,0.6009878678441889,17975.79566905884,8142.639882872056,2.111,6
High,NSGA-III,3,0.6009613757144199,17975.965204285072,8064.470910624689,2.241,4
High,NSGA-III,4,0.5110488465122099,23315.95591464573,7190.156076220634,2.386,3
High,NSGA-III,5,0.5896372103311698,18644.737775186633,7986.492764273226,2.169,4
High,NSGA-III,6,0.6009744792900387,17975.927506427124,8142.683305728391,2.148,6
High,NSGA-III,7,0.6009394781353392,17975.84321397816,8143.446277185922,2.079,6
High,NSGA-III,8,0.5897111718992089,18643.721971066705,7954.842793212357,2.217,3
High,NSGA-III,9,0.6009255605268252,17975.735356029538,8143.698902474453,2.293,6
High,NSGA-III,10,0.6008826946123079,17977.29658568319,8119.280464714141,2.146,5
High,NSGA-III,11,0.600917609117272,17977.224498299067,8142.4918001699325,2.101,6
High,NSGA-III,12,0.6009682316015933,17976.038201925607,8143.024483729021,2.076,6
High,NSGA-III,13,0.6009627649810706,17976.39402446996,8063.9073408301065,2.091,4
High,NSGA-III,14,0.6009759666402207,17975.78081728556,8003.124146349001,2.234,3
High,NSGA-III,15,0.6009518666622164,17975.916139263772,8143.325514952195,2.251,6
High,NSGA-III,16,0.6009719147594602,17976.313691632527,8090.00749516799,2.029,5
High,NSGA-III,17,0.6009106919487067,17977.17412648523,8142.64932475452,2.12,6
High,NSGA-III,18,0.5896576634498143,18644.68766347222,7954.7624509878615,2.161,3
High,NSGA-III,19,0.6009104622550773,17977.110743666253,8142.3306755714175,2.236,6
High,NSGA-III,20,0.6010071802569589,17976.2007233159,8142.812248040969,2.203,6
High,NSGA-III,21,0.5111856738025325,23316.1984246505,7187.937468345053,2.14,3
High,NSGA-III,22,0.5111276465716976,23315.87735642244,7276.910193067742,2.139,4
High,NSGA-III,23,0.601069344289356,17976.04117319485,8140.798343587543,2.327,6
High,NSGA-III,24,0.600949480162253,17976.058769510415,8143.067483454595,2.293,6
High,NSGA-III,25,0.6009421340585083,17976.00898082535,8143.245016601474,2.173,6
High,NSGA-III,26,0.6009128369744126,17977.57926748392,8003.444304751539,2.204,3
High,NSGA-III,27,0.5111329999544802,23317.3305201531,7188.527013480123,2.195,3
